TIMESTAMP           | PROVID | VOICE_TAG                           | STAT  | FILE
2026-03-08 19:31:09 | Azure  | en-GB-EthanNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-GB\en-GB-EthanNeural.mp3
2026-03-08 19:31:09 | Azure  | en-GB-HollieNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-GB\en-GB-HollieNeural.mp3
2026-03-08 19:31:10 | Azure  | en-GB-MaisieNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-GB\en-GB-MaisieNeural.mp3
2026-03-08 19:31:11 | Azure  | en-GB-NoahNeural                    | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-GB\en-GB-NoahNeural.mp3
2026-03-08 19:31:11 | Azure  | en-GB-OliverNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-GB\en-GB-OliverNeural.mp3
2026-03-08 19:31:12 | Azure  | en-GB-OliviaNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-GB\en-GB-OliviaNeural.mp3
2026-03-08 19:31:13 | Azure  | en-GB-ThomasNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-GB\en-GB-ThomasNeural.mp3
2026-03-08 19:31:13 | Azure  | en-GB-MiaNeural                     | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-GB\en-GB-MiaNeural.mp3
2026-03-08 19:31:14 | Azure  | en-HK-YanNeural                     | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-HK\en-HK-YanNeural.mp3
2026-03-08 19:31:14 | Azure  | en-HK-SamNeural                     | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-HK\en-HK-SamNeural.mp3
2026-03-08 19:31:15 | Azure  | en-IE-EmilyNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-IE\en-IE-EmilyNeural.mp3
2026-03-08 19:31:16 | Azure  | en-IE-ConnorNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-IE\en-IE-ConnorNeural.mp3
2026-03-08 19:31:18 | Azure  | en-IN-AartiIndicNeural              | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-IN\en-IN-AartiIndicNeural.mp3
2026-03-08 19:31:19 | Azure  | en-IN-ArjunIndicNeural              | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-IN\en-IN-ArjunIndicNeural.mp3
2026-03-08 19:31:20 | Azure  | en-IN-NeerjaIndicNeural             | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-IN\en-IN-NeerjaIndicNeural.mp3
2026-03-08 19:31:21 | Azure  | en-IN-PrabhatIndicNeural            | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-IN\en-IN-PrabhatIndicNeural.mp3
2026-03-08 19:31:22 | Azure  | en-IN-AaravNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-IN\en-IN-AaravNeural.mp3
2026-03-08 19:31:23 | Azure  | en-IN-AashiNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-IN\en-IN-AashiNeural.mp3
2026-03-08 19:31:24 | Azure  | en-IN-AartiNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-IN\en-IN-AartiNeural.mp3
2026-03-08 19:31:26 | Azure  | en-IN-ArjunNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-IN\en-IN-ArjunNeural.mp3
2026-03-08 19:31:26 | Azure  | en-IN-AnanyaNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-IN\en-IN-AnanyaNeural.mp3
2026-03-08 19:31:27 | Azure  | en-IN-KavyaNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-IN\en-IN-KavyaNeural.mp3
2026-03-08 19:31:28 | Azure  | en-IN-KunalNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-IN\en-IN-KunalNeural.mp3
2026-03-08 19:31:28 | Azure  | en-IN-NeerjaNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-IN\en-IN-NeerjaNeural.mp3
2026-03-08 19:31:29 | Azure  | en-IN-PrabhatNeural                 | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-IN\en-IN-PrabhatNeural.mp3
